"parts"	"mor"
"形容詞"	"堅い"
"名詞"	"もの"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"昨日"
"接頭詞"	"お"
"動詞"	"着く"
"動詞"	"でる"
"記号"	"、"
"副詞"	"さぞ"
"接頭詞"	"お"
"名詞"	"疲れ"
"助詞"	"で"
"記号"	"、"
"接続詞"	"それでも"
"感動詞"	"う"
"名詞"	"授業"
"助詞"	"を"
"接頭詞"	"お"
"名詞"	"始め"
"助詞"	"で"
"記号"	"、"
"名詞"	"大分"
"接頭詞"	"ご"
"名詞"	"励"
"名詞"	"精"
"助動詞"	"だ"
"記号"	"、"
"記号"	"――"
"助詞"	"と"
"助詞"	"の"
"名詞"	"べつ"
"助詞"	"に"
"動詞"	"弁じる"
"助動詞"	"た"
"名詞"	"の"
"助詞"	"は"
"名詞"	"愛嬌"
"助詞"	"の"
"動詞"	"ある"
"名詞"	"お爺さん"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"画"
"名詞"	"学"
"助詞"	"の"
"名詞"	"教師"
"助詞"	"は"
"副詞"	"全く"
"名詞"	"芸人"
"名詞"	"風"
"助動詞"	"だ"
"記号"	"。"
"副詞"	"べらべら"
"動詞"	"する"
"助動詞"	"た"
"名詞"	"透綾"
"助詞"	"の"
"名詞"	"羽織"
"助詞"	"を"
"動詞"	"着る"
"助詞"	"て"
"記号"	"、"
"名詞"	"扇子"
"助詞"	"を"
"動詞"	"ぱちつかせる"
"助詞"	"て"
"記号"	"、"
"名詞"	"御国"
"助詞"	"は"
"名詞"	"どちら"
"助詞"	"で"
"動詞"	"げする"
"記号"	"、"
"感動詞"	"え"
"記号"	"？"
"記号"	"　"
"名詞"	"東京"
"記号"	"？"
"記号"	"　"
"名詞"	"そりゃ"
"形容詞"	"嬉しい"
"記号"	"、"
"接頭詞"	"お"
"名詞"	"仲間"
"助詞"	"が"
"動詞"	"出来る"
"助詞"	"て"
"記号"	"…"
"記号"	"…"
"名詞"	"私"
"助詞"	"も"
"名詞"	"これ"
"助詞"	"で"
"名詞"	"江戸っ子"
"助動詞"	"です"
"助詞"	"と"
"動詞"	"云う"
"助動詞"	"た"
"記号"	"。"
"連体詞"	"こんな"
"名詞"	"の"
"助詞"	"が"
"名詞"	"江戸っ子"
"助動詞"	"だ"
"名詞"	"江戸"
"助詞"	"に"
"助詞"	"は"
"動詞"	"生れる"
"助動詞"	"たい"
"助動詞"	"ない"
"名詞"	"もん"
"助動詞"	"だ"
"助詞"	"と"
"名詞"	"心中"
"助詞"	"に"
"動詞"	"考える"
"助動詞"	"た"
"記号"	"。"
"名詞"	"そのほか"
"名詞"	"一人一人"
"助詞"	"について"
"連体詞"	"こんな"
"名詞"	"事"
"助詞"	"を"
"動詞"	"書く"
"助詞"	"ば"
"名詞"	"いくら"
"助詞"	"で"
"助詞"	"も"
"動詞"	"ある"
"記号"	"。"
"接続詞"	"しかし"
"名詞"	"際限"
"助詞"	"が"
"形容詞"	"ない"
"助詞"	"から"
"動詞"	"やめる"
"記号"	"。"
"名詞"	"挨拶"
"助詞"	"が"
"名詞"	"一通り"
"動詞"	"済む"
"助動詞"	"だ"
"記号"	"、"
"名詞"	"校長"
"助詞"	"が"
"名詞"	"今日"
"助詞"	"は"
"副詞"	"もう"
"動詞"	"引き取る"
"助詞"	"て"
"助詞"	"も"
"形容詞"	"いい"
"記号"	"、"
"副詞"	"もっとも"
"名詞"	"授業"
"名詞"	"上"
"助詞"	"の"
"名詞"	"事"
"助詞"	"は"
"名詞"	"数学"
"助詞"	"の"
"名詞"	"主任"
"助詞"	"と"
"動詞"	"打ち合せる"
"助詞"	"を"
"動詞"	"する"
"助詞"	"て"
"動詞"	"おく"
"助詞"	"て"
"記号"	"、"
"名詞"	"明後日"
"助詞"	"から"
"名詞"	"課業"
"助詞"	"を"
"動詞"	"始める"
"助詞"	"て"
"動詞"	"くれる"
"助詞"	"と"
"動詞"	"云う"
"助動詞"	"た"
"記号"	"。"
"名詞"	"数学"
"助詞"	"の"
"名詞"	"主任"
"助詞"	"は"
"名詞"	"誰か"
"助詞"	"と"
"動詞"	"聞く"
"助詞"	"て"
"動詞"	"みる"
"助動詞"	"た"
"名詞"	"例"
"助詞"	"の"
"名詞"	"山嵐"
"助動詞"	"だ"
"助動詞"	"ある"
"助動詞"	"た"
"記号"	"。"
"形容詞"	"忌々しい"
"記号"	"、"
"名詞"	"こいつ"
"助詞"	"の"
"名詞"	"下"
"助詞"	"に"
"動詞"	"働く"
"名詞"	"の"
"助詞"	"か"
"接頭詞"	"お"
"名詞"	"やおや"
"助詞"	"と"
"名詞"	"失望"
"動詞"	"する"
"助動詞"	"た"
"記号"	"。"
"名詞"	"山嵐"
"助詞"	"は"
"記号"	"「"
"感動詞"	"おい"
"名詞"	"君"
"名詞"	"どこ"
"助詞"	"に"
"動詞"	"宿る"
"動詞"	"てる"
"助詞"	"か"
"記号"	"、"
"名詞"	"山城屋"
"助詞"	"か"
"記号"	"、"
"感動詞"	"うん"
"記号"	"、"
"名詞"	"今"
"助詞"	"に"
"動詞"	"行く"
"助詞"	"て"
"名詞"	"相談"
"動詞"	"する"
"記号"	"」"
"助詞"	"と"
"動詞"	"云う"
"動詞"	"残す"
"助詞"	"て"
"名詞"	"白墨"
"助詞"	"を"
"動詞"	"持つ"
"助詞"	"て"
"名詞"	"教場"
"助詞"	"へ"
"動詞"	"出る"
"助詞"	"て"
"動詞"	"行く"
"助動詞"	"た"
"記号"	"。"
"名詞"	"主任"
"助詞"	"の"
"名詞"	"癖"
"助詞"	"に"
"動詞"	"向う"
"助詞"	"から"
"動詞"	"来る"
"助詞"	"て"
"名詞"	"相談"
"動詞"	"する"
"助詞"	"なんて"
"名詞"	"不見識"
"助動詞"	"だ"
"名詞"	"男"
"助動詞"	"だ"
"記号"	"。"
"接続詞"	"しかし"
"動詞"	"呼び付ける"
"助詞"	"より"
"助詞"	"は"
"名詞"	"感心"
"助動詞"	"だ"
"記号"	"。"
"接続詞"	"それから"
"名詞"	"学校"
"助詞"	"の"
"名詞"	"門"
"助詞"	"を"
"動詞"	"出る"
"助詞"	"て"
"記号"	"、"
"副詞"	"すぐ"
"名詞"	"宿"
"助詞"	"へ"
"動詞"	"帰る"
"助動詞"	"う"
"助詞"	"と"
"動詞"	"思う"
"助動詞"	"た"
"助詞"	"が"
"記号"	"、"
"動詞"	"帰る"
"助動詞"	"た"
"助詞"	"って"
"名詞"	"仕方がない"
"助詞"	"から"
"記号"	"、"
"副詞"	"少し"
"名詞"	"町"
"助詞"	"を"
"名詞"	"散歩"
"動詞"	"してやる"
"助動詞"	"う"
"助詞"	"と"
"動詞"	"思う"
"助詞"	"て"
"記号"	"、"
"接頭詞"	"無"
"副詞"	"暗に"
"名詞"	"足"
"助詞"	"の"
"動詞"	"向く"
"名詞"	"方"
"助詞"	"を"
"動詞"	"あるく"
"動詞"	"散らす"
"助動詞"	"た"
"記号"	"。"
"名詞"	"県庁"
"助詞"	"も"
"動詞"	"見る"
"助動詞"	"た"
"記号"	"。"
"形容詞"	"古い"
"接頭詞"	"前"
"名詞"	"世紀"
"助詞"	"の"
"名詞"	"建築"
"助動詞"	"だ"
"助動詞"	"ある"
"記号"	"。"
"名詞"	"兵営"
"助詞"	"も"
"動詞"	"見る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"麻布"
"助詞"	"の"
"名詞"	"聯隊"
"助詞"	"より"
"名詞"	"立派"
"助動詞"	"だ"
"助動詞"	"ない"
"記号"	"。"
"名詞"	"大通り"
"助詞"	"も"
"動詞"	"見る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"神楽"
"名詞"	"坂"
"助詞"	"を"
"名詞"	"半分"
"助詞"	"に"
"形容詞"	"狭い"
"動詞"	"する"
"助動詞"	"た"
"助詞"	"ぐらい"
"助詞"	"な"
"名詞"	"道幅"
"助詞"	"で"
"名詞"	"町並"
"助詞"	"は"
"名詞"	"あれ"
"助詞"	"より"
"動詞"	"落ちる"
"記号"	"。"
"名詞"	"二"
"名詞"	"十"
"名詞"	"五"
"名詞"	"万"
"名詞"	"石"
"助詞"	"の"
"名詞"	"城下"
"助詞"	"だって"
"名詞"	"高"
"助詞"	"の"
"動詞"	"知れる"
"助動詞"	"た"
"名詞"	"もの"
"助動詞"	"だ"
"記号"	"。"
"連体詞"	"こんな"
"名詞"	"所"
"助詞"	"に"
"動詞"	"住む"
"助詞"	"で"
"接頭詞"	"ご"
"名詞"	"城下"
"助動詞"	"だ"
"助詞"	"など"
"助詞"	"と"
"動詞"	"威張る"
"動詞"	"てる"
"名詞"	"人間"
"助詞"	"は"
"名詞"	"可哀想"
"助動詞"	"だ"
"名詞"	"もの"
"助動詞"	"だ"
"助詞"	"と"
"動詞"	"考える"
"助詞"	"ながら"
"動詞"	"くる"
"助詞"	"と"
"記号"	"、"
"副詞"	"いつしか"
"名詞"	"山城屋"
"助詞"	"の"
"名詞"	"前"
"助詞"	"に"
"動詞"	"出る"
"助動詞"	"た"
"記号"	"。"
"形容詞"	"広い"
"名詞"	"よう"
"助動詞"	"だ"
"助詞"	"も"
"形容詞"	"狭い"
"名詞"	"もの"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"これ"
"助詞"	"で"
"名詞"	"大抵"
"助詞"	"は"
"動詞"	"見る"
"動詞"	"尽す"
"助動詞"	"た"
"名詞"	"の"
"助動詞"	"だ"
"助動詞"	"う"
"記号"	"。"
"動詞"	"帰る"
"助詞"	"て"
"名詞"	"飯"
"助詞"	"でも"
"動詞"	"食う"
"助動詞"	"う"
"助詞"	"と"
"名詞"	"門口"
"助詞"	"を"
"動詞"	"はいる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"帳場"
"助詞"	"に"
"動詞"	"坐る"
"助詞"	"て"
"動詞"	"いる"
"助動詞"	"た"
"名詞"	"かみさん"
"助詞"	"が"
"記号"	"、"
"名詞"	"おれ"
"助詞"	"の"
"名詞"	"顔"
"助詞"	"を"
"動詞"	"見る"
"助詞"	"と"
"名詞"	"急"
"助詞"	"に"
"動詞"	"飛び出す"
"助詞"	"て"
"動詞"	"くる"
"助詞"	"て"
"接頭詞"	"お"
"名詞"	"帰り"
"記号"	"…"
"記号"	"…"
"助詞"	"と"
"名詞"	"板の間"
"助詞"	"へ"
"名詞"	"頭"
"助詞"	"を"
"動詞"	"つける"
"助動詞"	"た"
"記号"	"。"
"名詞"	"靴"
"助詞"	"を"
"動詞"	"脱ぐ"
"助詞"	"で"
"動詞"	"上がる"
"助詞"	"と"
"記号"	"、"
"名詞"	"お座敷"
"助詞"	"が"
"動詞"	"あく"
"助動詞"	"ます"
"助動詞"	"た"
"助詞"	"から"
"助詞"	"と"
"名詞"	"下女"
"助詞"	"が"
"名詞"	"二階"
"助詞"	"へ"
"名詞"	"案内"
"助詞"	"を"
"動詞"	"する"
"助動詞"	"た"
"記号"	"。"
"名詞"	"十"
"名詞"	"五"
"名詞"	"畳"
"助詞"	"の"
"接頭詞"	"表"
"名詞"	"二階"
"助詞"	"で"
"連体詞"	"大きな"
"名詞"	"床の間"
"助詞"	"が"
"動詞"	"つく"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"は"
"動詞"	"生れる"
"助詞"	"て"
"助詞"	"から"
"副詞"	"まだ"
"連体詞"	"こんな"
"名詞"	"立派"
"助動詞"	"だ"
"名詞"	"座敷"
"助詞"	"へ"
"動詞"	"はいる"
"助動詞"	"た"
"名詞"	"事"
"助詞"	"は"
"助動詞"	"ない"
"記号"	"。"
"連体詞"	"この"
"名詞"	"後逸"
"助詞"	"は"
"動詞"	"いれる"
"助詞"	"か"
"動詞"	"分る"
"助動詞"	"ない"
"助詞"	"から"
"記号"	"、"
"名詞"	"洋服"
"助詞"	"を"
"動詞"	"脱ぐ"
"助詞"	"で"
"名詞"	"浴衣"
"名詞"	"一"
"名詞"	"枚"
"助詞"	"に"
"動詞"	"なる"
"助詞"	"て"
"名詞"	"座敷"
"助詞"	"の"
"名詞"	"真中"
"助詞"	"へ"
"名詞"	"大の字"
"助詞"	"に"
"動詞"	"寝る"
"助詞"	"て"
"動詞"	"みる"
"助動詞"	"た"
"記号"	"。"
"形容詞"	"いい"
"名詞"	"心持ち"
"助動詞"	"だ"
"助動詞"	"ある"
"記号"	"。"
"名詞"	"昼飯"
"助詞"	"を"
"動詞"	"食う"
"助詞"	"て"
"助詞"	"から"
"副詞"	"早速"
"名詞"	"清"
"助詞"	"へ"
"名詞"	"手紙"
"助詞"	"を"
"動詞"	"かく"
"助詞"	"て"
"動詞"	"やる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"は"
"名詞"	"文章"
"助詞"	"が"
"形容詞"	"まずい"
"名詞"	"上"
"助詞"	"に"
"名詞"	"字"
"助詞"	"を"
"動詞"	"知る"
"助動詞"	"ない"
"助詞"	"から"
"名詞"	"手紙"
"助詞"	"を"
"動詞"	"書く"
"名詞"	"の"
"助詞"	"が"
"名詞"	"大嫌い"
"助動詞"	"だ"
"記号"	"。"
"副詞"	"また"
"動詞"	"やる"
"名詞"	"所"
"助詞"	"も"
"形容詞"	"ない"
"記号"	"。"
"接続詞"	"しかし"
"名詞"	"清"
"助詞"	"は"
"名詞"	"心配"
"動詞"	"する"
"助詞"	"て"
"動詞"	"いる"
"助動詞"	"だ"
"助動詞"	"う"
"記号"	"。"
"名詞"	"難船"
"動詞"	"する"
"助詞"	"て"
"動詞"	"死ぬ"
"助動詞"	"やす"
"助動詞"	"ない"
"助詞"	"か"
"助詞"	"など"
"助詞"	"と"
"動詞"	"思う"
"助詞"	"ちゃ"
"動詞"	"困る"
"助詞"	"から"
"記号"	"、"
"名詞"	"奮発"
"動詞"	"する"
"助詞"	"て"
"形容詞"	"長い"
"名詞"	"の"
"助詞"	"を"
"動詞"	"書く"
"助詞"	"て"
"動詞"	"やる"
"助動詞"	"た"
"記号"	"。"
"連体詞"	"その"
"名詞"	"文句"
"助詞"	"は"
"副詞"	"こう"
"助動詞"	"だ"
"助動詞"	"ある"
"記号"	"。"
"記号"	"「"
"名詞"	"きのう"
"動詞"	"着く"
"助動詞"	"た"
"記号"	"。"
"名詞"	"つま"
"名詞"	"らん"
"名詞"	"所"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"十"
"名詞"	"五"
"名詞"	"畳"
"助詞"	"の"
"名詞"	"座敷"
"助詞"	"に"
"動詞"	"寝る"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"宿屋"
"助詞"	"へ"
"名詞"	"茶代"
"助詞"	"を"
"名詞"	"五"
"名詞"	"円"
"動詞"	"やる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"かみさん"
"助詞"	"が"
"名詞"	"頭"
"助詞"	"を"
"名詞"	"板の間"
"助詞"	"へ"
"動詞"	"すりつける"
"助動詞"	"た"
"記号"	"。"
"名詞"	"夕べ"
"助詞"	"は"
"動詞"	"寝る"
"動詞"	"られる"
"助動詞"	"ない"
"助動詞"	"た"
"記号"	"。"
"名詞"	"清"
"助詞"	"が"
"名詞"	"笹"
"名詞"	"飴"
"助詞"	"を"
"名詞"	"笹"
"名詞"	"ごと"
"動詞"	"食う"
"名詞"	"夢"
"助詞"	"を"
"動詞"	"見る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"来年"
"助詞"	"の"
"名詞"	"夏"
"助詞"	"は"
"動詞"	"帰る"
"記号"	"。"
"名詞"	"今日"
"名詞"	"学校"
"助詞"	"へ"
"動詞"	"行く"
"助詞"	"て"
"名詞"	"みんな"
"助詞"	"に"
"名詞"	"あだな"
"助詞"	"を"
"動詞"	"つける"
"助詞"	"て"
"動詞"	"やる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"校長"
"助詞"	"は"
"名詞"	"狸"
"記号"	"、"
"名詞"	"教頭"
"助詞"	"は"
"名詞"	"赤シャツ"
"記号"	"、"
"名詞"	"英語"
"助詞"	"の"
"名詞"	"教師"
"助詞"	"は"
"名詞"	"うらなり"
"記号"	"、"
"名詞"	"数学"
"助詞"	"は"
"名詞"	"山嵐"
"記号"	"、"
"名詞"	"画"
"名詞"	"学"
"助詞"	"は"
"助詞"	"の"
"名詞"	"だい"
"名詞"	"こ"
"記号"	"。"
"副詞"	"今に"
"名詞"	"いろいろ"
"助動詞"	"だ"
"名詞"	"事"
"助詞"	"を"
"動詞"	"書く"
"助詞"	"て"
"動詞"	"やる"
"記号"	"。"
"感動詞"	"さようなら"
"記号"	"」"
"名詞"	"手紙"
"助詞"	"を"
"動詞"	"かく"
"助詞"	"て"
"動詞"	"しまう"
"助動詞"	"た"
"記号"	"、"
"形容詞"	"いい"
"名詞"	"心持ち"
"助詞"	"に"
"動詞"	"なる"
"助詞"	"て"
"名詞"	"眠気"
"助詞"	"が"
"動詞"	"さす"
"助動詞"	"た"
"助詞"	"から"
"記号"	"、"
"名詞"	"最前"
"助詞"	"の"
"名詞"	"よう"
"助詞"	"に"
"名詞"	"座敷"
"助詞"	"の"
"名詞"	"真中"
"助詞"	"へ"
"副詞"	"のびのび"
"助詞"	"と"
"名詞"	"大の字"
"助詞"	"に"
"動詞"	"寝る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"今度"
"助詞"	"は"
"名詞"	"夢"
"助詞"	"も"
"名詞"	"何"
"助詞"	"も"
"動詞"	"見る"
"助動詞"	"ない"
"助詞"	"で"
"副詞"	"ぐっすり"
"動詞"	"寝る"
"助動詞"	"た"
"記号"	"。"
"連体詞"	"この"
"名詞"	"部屋"
"名詞"	"かい"
"助詞"	"と"
"連体詞"	"大きな"
"名詞"	"声"
"助詞"	"が"
"動詞"	"する"
"助詞"	"ので"
"名詞"	"目"
"助詞"	"が"
"動詞"	"覚める"
"助動詞"	"た"
"記号"	"、"
"名詞"	"山嵐"
"助詞"	"が"
"動詞"	"はいる"
"助詞"	"て"
"動詞"	"来る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"最前"
"助詞"	"は"
"名詞"	"失敬"
"記号"	"、"
"名詞"	"君"
"助詞"	"の"
"名詞"	"受け持ち"
"助詞"	"は"
"記号"	"…"
"記号"	"…"
"助詞"	"と"
"名詞"	"人"
"助詞"	"が"
"動詞"	"起き上がる"
"助詞"	"や"
"名詞"	"否や"
"名詞"	"談判"
"助詞"	"を"
"動詞"	"開く"
"動詞"	"れる"
"助動詞"	"た"
"助詞"	"ので"
"副詞"	"大いに"
"名詞"	"狼狽"
"動詞"	"する"
"助動詞"	"た"
"記号"	"。"
"名詞"	"受け持ち"
"助詞"	"を"
"動詞"	"聞く"
"助詞"	"て"
"動詞"	"みる"
"助詞"	"と"
"副詞"	"別段"
"形容詞"	"むずかしい"
"名詞"	"医事"
"助詞"	"も"
"形容詞"	"ない"
"名詞"	"さ"
"名詞"	"そうだ"
"助詞"	"から"
"名詞"	"承知"
"動詞"	"する"
"助動詞"	"た"
"記号"	"。"
"連体詞"	"この"
"助詞"	"くらい"
"助詞"	"の"
"名詞"	"事"
"助動詞"	"だ"
"記号"	"、"
"名詞"	"明後日"
"助詞"	"は"
"名詞"	"愚"
"記号"	"、"
"名詞"	"明日"
"助詞"	"から"
"動詞"	"始める"
"助詞"	"と"
"動詞"	"云う"
"助詞"	"たって"
"名詞"	"驚"
"名詞"	"ろか"
"形容詞"	"ない"
"記号"	"。"
"名詞"	"授業"
"名詞"	"上"
"助詞"	"の"
"動詞"	"打ち合せる"
"助詞"	"が"
"動詞"	"済む"
"助動詞"	"だ"
"記号"	"、"
"名詞"	"君"
"助詞"	"は"
"名詞"	"いつ"
"助詞"	"まで"
"連体詞"	"こんな"
"名詞"	"宿屋"
"助詞"	"に"
"動詞"	"居る"
"名詞"	"つもり"
"助動詞"	"だ"
"助詞"	"も"
"助動詞"	"ある"
"助動詞"	"まい"
"記号"	"、"
"名詞"	"僕"
"助詞"	"が"
"形容詞"	"いい"
"名詞"	"下宿"
"助詞"	"を"
"名詞"	"周旋"
"動詞"	"する"
"助詞"	"て"
"動詞"	"やる"
"助詞"	"から"
"名詞"	"移り"
"名詞"	"たまえ"
"記号"	"。"
"名詞"	"外"
"助詞"	"の"
"名詞"	"もの"
"助動詞"	"だ"
"助詞"	"は"
"名詞"	"承知"
"名詞"	"しない"
"助詞"	"が"
"名詞"	"僕"
"助詞"	"が"
"動詞"	"話す"
"助詞"	"ば"
"副詞"	"すぐ"
"動詞"	"出来る"
"記号"	"。"
"形容詞"	"早い"
"名詞"	"方"
"助詞"	"が"
"形容詞"	"いい"
"助詞"	"から"
"記号"	"、"
"名詞"	"今日"
"動詞"	"見る"
"助詞"	"て"
"記号"	"、"
"名詞"	"あす"
"動詞"	"移る"
"助詞"	"て"
"記号"	"、"
"名詞"	"あさって"
"助詞"	"から"
"名詞"	"学校"
"助詞"	"へ"
"動詞"	"行く"
"助詞"	"ば"
"名詞"	"極り"
"助詞"	"が"
"形容詞"	"いい"
"助詞"	"と"
"名詞"	"一人"
"助詞"	"で"
"動詞"	"呑み込む"
"助詞"	"で"
"動詞"	"いる"
"記号"	"。"
"感動詞"	"なるほど"
"名詞"	"十"
"名詞"	"五"
"名詞"	"畳"
"名詞"	"敷"
"助詞"	"に"
"名詞"	"いつ"
"助詞"	"まで"
"動詞"	"居る"
"名詞"	"訳"
"助詞"	"に"
"助詞"	"も"
"動詞"	"行く"
"助動詞"	"まい"
"記号"	"。"
"名詞"	"月給"
"助詞"	"を"
"名詞"	"みんな"
"名詞"	"宿料"
"助詞"	"に"
"動詞"	"払う"
"助詞"	"て"
"助詞"	"も"
"動詞"	"追う"
"動詞"	"つく"
"助動詞"	"ない"
"助詞"	"かも"
"動詞"	"しれる"
"助動詞"	"ぬ"
"記号"	"。"
"名詞"	"五"
"名詞"	"円"
"助詞"	"の"
"名詞"	"茶代"
"助詞"	"を"
"名詞"	"奮発"
"動詞"	"する"
"助詞"	"て"
"副詞"	"すぐ"
"動詞"	"移る"
"名詞"	"の"
"助詞"	"は"
"副詞"	"ちと"
"名詞"	"残念"
"助動詞"	"だ"
"助詞"	"が"
"記号"	"、"
"副詞"	"どうせ"
"動詞"	"移る"
"名詞"	"者"
"助動詞"	"だ"
"記号"	"、"
"形容詞"	"早い"
"動詞"	"引く"
"動詞"	"越す"
"助詞"	"て"
"動詞"	"落ちる"
"動詞"	"付く"
"名詞"	"方"
"助詞"	"が"
"名詞"	"便利"
"助動詞"	"だ"
"助詞"	"から"
"記号"	"、"
"名詞"	"そこ"
"助詞"	"の"
"名詞"	"ところ"
"助詞"	"は"
"副詞"	"よろしく"
"名詞"	"山嵐"
"助詞"	"に"
"動詞"	"頼む"
"名詞"	"事"
"助詞"	"に"
"動詞"	"する"
"助動詞"	"た"
"記号"	"。"
"接続詞"	"すると"
"名詞"	"山嵐"
"助詞"	"は"
"副詞"	"ともかく"
"助詞"	"も"
"名詞"	"いっしょ"
"助詞"	"に"
"動詞"	"来る"
"助詞"	"て"
"動詞"	"みる"
"助詞"	"と"
"動詞"	"云う"
"助詞"	"から"
"記号"	"、"
"動詞"	"行う"
"助動詞"	"た"
"記号"	"。"
"名詞"	"町はずれ"
"助詞"	"の"
"名詞"	"岡"
"助詞"	"の"
"名詞"	"中腹"
"助詞"	"に"
"動詞"	"ある"
"名詞"	"家"
"助詞"	"で"
"副詞"	"至極"
"名詞"	"閑静"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"主人"
"助詞"	"は"
"名詞"	"骨董"
"助詞"	"を"
"名詞"	"売買"
"動詞"	"する"
"名詞"	"いか"
"名詞"	"銀"
"助詞"	"と"
"動詞"	"云う"
"名詞"	"男"
"助詞"	"で"
"記号"	"、"
"名詞"	"女房"
"助詞"	"は"
"名詞"	"亭主"
"助詞"	"より"
"助詞"	"も"
"名詞"	"四つ"
"助詞"	"ばかり"
"名詞"	"年嵩"
"助詞"	"の"
"名詞"	"女"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"中学校"
"助詞"	"に"
"動詞"	"居る"
"助動詞"	"た"
"名詞"	"時"
"名詞"	"W.I.T.C.H."
"助詞"	"と"
"動詞"	"云う"
"名詞"	"言葉"
"助詞"	"を"
"動詞"	"習う"
"助動詞"	"た"
"名詞"	"事"
"助詞"	"が"
"動詞"	"ある"
"助詞"	"が"
"連体詞"	"この"
"名詞"	"女房"
"助詞"	"は"
"副詞"	"まさに"
"名詞"	"W.I.T.C.H."
"助詞"	"に"
"動詞"	"似る"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"W.I.T.C.H."
"助詞"	"だって"
"名詞"	"人"
"助詞"	"の"
"名詞"	"女房"
"助動詞"	"だ"
"助詞"	"から"
"動詞"	"構う"
"助動詞"	"ない"
"記号"	"。"
"副詞"	"とうとう"
"名詞"	"明日"
"助詞"	"から"
"名詞"	"引き"
"動詞"	"移る"
"名詞"	"事"
"助詞"	"に"
"動詞"	"する"
"助動詞"	"た"
"記号"	"。"
"名詞"	"帰り"
"助詞"	"に"
"名詞"	"山嵐"
"助詞"	"は"
"名詞"	"通町"
"助詞"	"で"
"名詞"	"氷水"
"助詞"	"を"
"名詞"	"一杯"
"動詞"	"奢る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"学校"
"助詞"	"で"
"動詞"	"逢う"
"助動詞"	"た"
"名詞"	"時"
"副詞"	"はや"
"助詞"	"に"
"名詞"	"横風"
"助動詞"	"だ"
"名詞"	"失敬"
"助動詞"	"だ"
"名詞"	"奴"
"助動詞"	"だ"
"助詞"	"と"
"動詞"	"思う"
"助動詞"	"た"
"助詞"	"が"
"記号"	"、"
"副詞"	"こんなに"
"副詞"	"いろいろ"
"名詞"	"世話"
"助詞"	"を"
"動詞"	"する"
"助詞"	"て"
"動詞"	"くれる"
"名詞"	"ところ"
"助詞"	"を"
"動詞"	"見る"
"助詞"	"と"
"記号"	"、"
"形容詞"	"わるい"
"名詞"	"男"
"助詞"	"で"
"助詞"	"も"
"形容詞"	"ない"
"名詞"	"さ"
"名詞"	"そう"
"助動詞"	"だ"
"記号"	"。"
"接続詞"	"ただ"
"名詞"	"おれ"
"助詞"	"と"
"連体詞"	"同じ"
"名詞"	"よう"
"助詞"	"に"
"名詞"	"せっかち"
"助動詞"	"だ"
"接頭詞"	"肝"
"名詞"	"癪持ち"
"助動詞"	"らしい"
"記号"	"。"
"名詞"	"あと"
"助詞"	"で"
"動詞"	"聞く"
"助動詞"	"た"
"連体詞"	"この"
"名詞"	"男"
"助詞"	"が"
"名詞"	"一番"
"名詞"	"生徒"
"助詞"	"に"
"名詞"	"人望"
"助詞"	"が"
"動詞"	"ある"
"名詞"	"の"
"助動詞"	"だ"
"名詞"	"そうだ"
"記号"	"。"
